scene,seq,pair,dof,label text,label value,round idx,pred option,pred text,reason,question
office,seq-08,000710-000724,phi,rightward,17.975933,2,3,rightward,"The information provided by VLM suggests that the window with blinds has moved slightly to the right in the target image compared to the source image. This implies that the camera has moved to the right as well. Since the blinds are still closed, it's unlikely that the camera has moved left or rotated in any direction. The fact that the chair, desk, and computer setup are still in the same position suggests that the camera movement is not a translation, but rather a rotation.

Given that the window has moved to the right, I'm going to take a chance and conclude that the main camera movement from the source image to the target image is a rightward rotation. However, I'd like to ask one more question to confirm my hypothesis:",Can you tell me if the bookshelf or any other objects in the room have changed their positions or orientations in the target image compared to the source image?
office,seq-04,000691-000717,phi,rightward,15.378286,1,2,ask more questions,"Although the VLM mentioned that the main objects and their positions remain the same in both images, I'm not convinced that there is no significant movement or change in their positions. The fact that the mannequins are positioned on the desk in the same relative positions in both images suggests that the camera movement might be related to the mannequins. Since the camera movement is limited to only six directions, I'd like to ask more questions to gather more information before making a final judgment.","Can you please tell me if there are any subtle changes in the mannequins' poses or postures between the source and target images? Are there any slight movements or changes in the way they are positioned on the desk? Are there any other objects in the images that might be affected by the camera movement, such as shadows or reflections?"
office,seq-04,000691-000717,phi,rightward,15.378286,2,1,no movement,"The VLM's description suggests that the mannequins' poses have changed between the source and target images, with the mannequin on the left leaning backward and the one on the right turned to the left. However, the desk, room, and other objects remain in the same position. This lack of movement in the surrounding environment and objects, combined with the subtle changes in the mannequins' poses, suggests that the camera movement is likely to be a rotation rather than a translation. Since the camera movement is limited to only six directions, and the mannequins' poses suggest a rotation, I believe the main camera movement from the source image to the target image is likely to be no movement.

However, I'd like to ask a few more questions to confirm my hypothesis:",Can you please confirm if the window in the background remains in the same position and orientation in both images? Are there any other subtle changes in the scene that might be indicative of a rotation or other camera movement?
redkitchen,seq-12,000294-000317,phi,rightward,16.646788,1,2,no movement,"My reason is that based on the information provided by VLM, there is no significant movement or camera movement between the source and target images. The objects, including the red cabinets, black countertop, and items on the countertop, appear to be stationary and remain in the same position and relationship to each other. This suggests that the camera did not move at all, or at least did not move in a way that would affect the position or arrangement of the objects in the images.",Can you please tell me more about the items on the countertop? Are they arranged in a specific pattern or are they scattered randomly? Are there any specific items that are more prominent or attention-grabbing than others?
office,seq-08,000267-000284,phi,leftward,15.348399,1,1,no movement,"My reason is that the VLM's description suggests that the office chair, computer desk, monitor, and keyboard are in similar positions in both images, indicating that there has been little to no movement of the camera. The carpeted floor is also visible in both images, with the chair and desk positioned on it, which further supports the idea that the camera has remained relatively stationary. The only hint of movement mentioned is that the chair is facing towards the right side of the frame, but this could be due to the chair's design or the scene's setup rather than camera movement. Overall, the lack of significant object movement and the consistent scene layout suggest that the camera has not moved significantly.",None
office,seq-07,000236-000279,phi,leftward,27.607591,1,0,ask more questions,"Based on the information provided by VLM, I think it's necessary to ask more questions to narrow down the possible camera movements. Although VLM mentioned that the positioning of the objects suggests a combination of left translation and right rotation, I'd like to gather more information to make a more accurate judgment.

For example, I'd like to know the following:

* Are the people, desks, chairs, computers, and papers arranged in a symmetrical or asymmetrical pattern in both images?
* Are there any objects that have changed positions between the two images, such as papers being moved from one desk to another?
* Are there any objects that are partially occluded or have changed orientation between the two images?

By asking these questions, I hope to gather more specific information about the camera movement and make a more informed decision about the main camera movement from the source image to the target image.",None
office,seq-07,000236-000279,phi,leftward,27.607591,2,0,rightward,"Although VLM's description suggests that the main camera movement involves a right rotation of the computer monitor, I'm not entirely convinced. The description mentions that the desk, chair, and poster on the wall remain in the same position, which suggests that the camera movement might be more complex than just a simple rotation.

I'd like to ask VLM some follow-up questions to clarify the situation:","Can you confirm that the desk, chair, and poster on the wall are indeed in the same position in both images? Are there any other objects in the room that have changed position or orientation between the two images?

Additionally, I'd like to know more about the window and the natural light entering the room. Is the window still facing the same direction in both images? Are there any changes in the way the light is illuminating the room?

By asking these questions, I hope to gather more information about the camera movement and make a more informed decision about the main camera movement from the source image to the target image."
redkitchen,seq-12,000821-000833,phi,leftward,15.780138,1,0,ask more questions,"Based on the information provided by VLM, I believe that asking more questions is the best option at this point. Although the VLM has given us some valuable insights, I'd like to gather more information about the specific positions of the objects, particularly the red cabinets and the wooden table, to better understand the camera movement.

Additionally, the VLM mentioned that the relationship between the cabinets and the table suggests a possible translation or rotation, but I'd like to know more about the exact distances and angles involved. By asking more questions, I can get a better sense of the spatial relationships between the objects and the camera movement.

Here are some additional questions I'd like to ask VLM:","Can you please provide more details about the position of the cabinets in both images? Are they aligned with the wall, or is there a slight offset? Are they at the same distance from the camera in both images?"
redkitchen,seq-12,000821-000833,phi,leftward,15.780138,2,3,rightward,"Based on the information provided by VLM, I believe that the main camera movement from the source image to the target image is a rightward rotation. The VLM mentioned that the red cabinets are aligned with the wall in the second image, which suggests that the camera has moved to the right to bring the cabinets into alignment with the wall. Additionally, the VLM stated that there is a slight offset in the position of the cabinets between the two images, which also supports the idea of a rightward rotation.

The fact that the wooden table is present in both images and its position appears to be consistent between the two images suggests that the camera movement is not a translation, as the distance and angle of the camera relative to the objects do not appear to have changed significantly. The VLM also mentioned that the camera movement is likely limited to a translation or rotation, which further supports the idea of a rightward rotation.

I do not believe that the camera movement is a leftward rotation, as the VLM mentioned that the cabinets are positioned slightly to the left of the wall in the first image, which would not be consistent with a leftward rotation.

I do not believe that there is no movement, as the VLM mentioned that there is a slight offset in the position of the cabinets between the two images, which suggests that the camera has moved to some extent.

Therefore, I choose option 3, rightward rotation, as the most likely camera movement from the source image to the target image.",None
office,seq-07,000145-000189,phi,leftward,21.816486,1,0,ask more questions,"Although the VLM mentioned that the camera movement is likely limited to a rotation or a slight translation, I would like to ask more questions to gather more information before making a judgment. The fact that the relative positions of the objects remain consistent between the two images suggests that the camera movement is subtle, but I would like to know more about the specific details of the object positions and any potential changes in their appearance.","Can you tell me more about the position of the chair in relation to the desk? Is it exactly in front of the desk, or is it slightly offset to one side? Additionally, are the objects on the desk, such as papers or objects, in the same position or arrangement in both images?"
office,seq-07,000145-000189,phi,leftward,21.816486,2,2,leftward,"Based on the information provided by VLM, I believe the main camera movement from the source image to the target image is a leftward rotation. The fact that the chair remains in the same position in front of the desk and the objects on the desk appear to be in the same arrangement suggests that the camera did not translate or move significantly. The consistency in the relative positions of the objects, including the chair and the bookshelf, implies that the camera movement is likely a rotation. Given that the chair is positioned directly in front of the desk, a leftward rotation would be more plausible than a rightward rotation, as it would allow the chair to remain in the same position while the camera rotates.",None
office,seq-10,000197-000226,phi,leftward,15.476087,1,0,ask more questions,"Although VLM has provided some information about the objects in both images, I'm not entirely convinced that the camera movement is a left translation. The description of the objects' positions and movements suggests that the camera might have moved in a more complex way. For example, the chairs facing the viewer in both images could indicate that the camera didn't move significantly in the vertical direction. Additionally, the fact that the monitors facing the viewer in both images haven't changed suggests that the camera might not have rotated significantly.

To gather more information, I'd like to ask VLM some follow-up questions to better understand the camera movement. Here are my questions:","Can you tell me more about the relationship between the desks and the office chairs in both images? Are they at the same distance from the camera, or has the camera moved closer or farther away from them?"
office,seq-10,000197-000226,phi,leftward,15.476087,2,3,leftward,"Based on the information provided by VLM, I believe the main camera movement from the source image to the target image is a leftward rotation. The fact that the desk and office chairs remain in the same relative positions, with the monitors on the desk facing the viewer, suggests that the camera has moved in a way that has not changed the overall layout of the room. The description of the objects' positions and movements also implies that the camera has not moved significantly in the vertical direction, which is consistent with a leftward rotation.

The only movement that could explain the consistent layout and object positions is a leftward translation, as VLM initially suggested. The fact that the camera has likely moved closer to the desk, resulting in a more detailed view of the objects, also supports this conclusion. There is no evidence to suggest that the camera has moved in a rightward direction, and the description of the objects' positions and movements does not indicate any significant change in the camera's orientation or perspective.

Therefore, I do not think it is necessary to ask more questions at this point, and I am confident that the main camera movement is a leftward rotation.",None
office,seq-09,000634-000646,phi,rightward,16.077994,1,1,ask more questions,"Based on the information provided by VLM, I'm not confident enough to determine the main camera movement from the source image to the target image. Although the positions and orientations of the chair, computer desk, and computer monitor appear to be consistent between the two images, this information alone is not sufficient to determine the camera movement.

I would like to ask more questions to gather more information about the images. Here are my next questions:",Can you tell me more about the orientation of the chair in the source and target images? Is it facing the same direction or has it changed? Are there any other objects in the room that could provide more clues about the camera movement?
office,seq-09,000634-000646,phi,rightward,16.077994,2,0,ask more questions,"Based on the information provided by VLM, I'm not confident enough to determine the main camera movement from the source image to the target image. Although the chair, computer desk, and computer monitor appear to be in the same relative positions and orientations between the two images, this information alone is not sufficient to determine the camera movement.

The VLM's description suggests that the chair's orientation and position have not changed significantly, and the relative positions of other objects in the room are consistent. However, this consistency could be due to a variety of camera movements, including no movement, leftward rotation, rightward rotation, or even a combination of these.

To gather more information and make a more accurate judgment, I would like to ask more questions. Here are my next questions:","Can you tell me more about the items scattered around the room, such as the papers and white box? Are they in the same positions or have they moved slightly? Are there any other objects in the room that could provide more clues about the camera movement?"
office,seq-09,000634-000646,phi,rightward,16.077994,3,0,ask more questions,"Based on the information provided by VLM, I'm still not confident enough to determine the main camera movement from the source image to the target image. Although the chair, desk, and computer monitor appear to be in the same relative positions and orientations between the two images, the VLM's description of the scattered papers and white box suggests that there may be some movement.

The VLM mentions that the papers appear to be in a similar position in both images, but the white box is not visible in the second image. This could be due to the camera moving slightly to the right or left, causing the papers to shift accordingly. However, without more information, it's difficult to determine the exact camera movement.

To gather more information and make a more accurate judgment, I would like to ask more questions. Here are my next questions:","Can you tell me more about the scattered papers in the room? Are they in the same state of disarray in both images, or has there been some change? Are there any other objects in the room that could provide more clues about the camera movement?"
office,seq-09,000634-000646,phi,rightward,16.077994,4,2,no movement,"Based on the information provided by VLM, I believe that the main camera movement from the source image to the target image is ""no movement"". The VLM's description of the scattered papers suggests that they are in a similar state of disarray in both images, with no significant change in their arrangement. Additionally, the chair, desk, and computer monitor are in the same relative positions and orientations in both images, which suggests that the camera did not move significantly.

The VLM also mentions that there are no other objects in the room that could provide additional clues about the camera movement, which further supports the conclusion that the camera did not move significantly. While the white box is not visible in the second image, this could be due to a variety of reasons, such as it being removed or moved to a different location, rather than the camera moving.

Given the lack of significant changes in the arrangement of the objects in the room and the absence of other clues, I believe that the most likely explanation is that the camera did not move significantly between the two images.",None
chess,seq-02,000690-000707,phi,rightward,15.004958,1,3,no movement,"My reason is that since the VLM has indicated that the chessboard and chess pieces are static objects and have not moved or changed position between the source and target images, it means that the camera has not moved or changed position either. The fact that the relative positions of the objects remain the same suggests that the camera has remained stationary, resulting in no movement between the source and target images.",None
redkitchen,seq-14,000691-000740,phi,leftward,41.752244,1,0,ask more questions,"Although VLM mentioned that there is no evidence of camera movement, I'm not convinced that there is no movement at all. The description states that the position and movement of the objects are consistent between the two images, but it doesn't explicitly rule out the possibility of a very subtle or minor movement. Additionally, VLM didn't mention anything about the camera's position or orientation, which could still be different between the two images. Therefore, I'd like to ask more questions to gather more information before making a conclusion.",Can you tell me more about the camera's position and orientation in both images? Are there any subtle changes in the background or the way the objects are framed that could indicate a minor camera movement?
redkitchen,seq-14,000691-000740,phi,leftward,41.752244,2,3,ask more questions,"The description provided by VLM suggests that the camera's position and orientation have changed between the two images. The camera appears to be looking down in the first image and up in the second image, which indicates a change in the camera's angle or elevation. Additionally, the objects on the counter are slightly blurred in the first image and more in focus in the second image, which suggests that the camera may have moved closer or farther away from the counter. While the overall framing of the objects on the counter remains consistent, the subtle changes in the camera's position and orientation are not immediately apparent. Therefore, I'd like to ask more questions to gather more information about the camera movement.",Can you tell me more about the specific changes in the camera's position or orientation between the two images? Are there any other visual cues or hints that could help determine the direction or magnitude of the camera movement?
redkitchen,seq-14,000691-000740,phi,leftward,41.752244,3,2,no movement,"The description provided by VLM suggests that the camera's angle or elevation has changed between the two images, with the camera looking down in the first image and up towards the ceiling in the second image. This indicates a change in the camera's position or orientation, but it is not a rotation. The description also mentions that the objects on the counter appear to be slightly blurred in the first image and more in focus in the second image, which suggests that the camera may have moved closer to the counter in the second image. This is consistent with a vertical movement, such as a translation up or down. Therefore, I conclude that the main camera movement from the source image to the target image is no movement, as the camera's movement is likely a translation up or down rather than a rotation.",None
stairs,seq-06,000375-000411,phi,leftward,15.298887,1,2,ask more questions,"Although the VLM mentioned that the steps and background are stationary, I'm not convinced that there is no camera movement. Since the steps are positioned in a straight line, ascending from the bottom to the top of the image, I'm curious to know if the camera's perspective has changed between the source and target images. For example, did the camera move closer or farther away from the steps, or did it change its angle of view? To gather more information, I'd like to ask VLM some additional questions to help me narrow down the possible camera movements.","Can you please describe the perspective or angle of view of the camera in the source and target images? Are the steps and background appearing to be closer or farther away from the camera, or is the angle of view the same in both images?"
stairs,seq-06,000375-000411,phi,leftward,15.298887,2,1,no movement,"Based on the information provided by VLM, I believe that there is no camera rotation or horizontal movement. The steps remain in a straight line, ascending from the bottom to the top, and the pattern on the floor remains consistent in their arrangement and orientation. The only change mentioned is the camera's distance from the steps, which has decreased in the target image. This suggests that the camera has moved vertically, possibly downward, to get a closer view of the steps. Since there is no mention of a change in the camera's angle or orientation, I conclude that the main camera movement is likely a vertical translation, with the camera moving closer to the steps.","No additional questions for now. I'm confident that the camera movement is primarily a vertical translation, and I'm ready to make a final judgment."
office,seq-09,000160-000193,phi,leftward,15.206562,1,3,no movement,"My reason is that according to VLM, all the prominent objects are in the same relative positions and orientations in both images, indicating no significant movement. This suggests that the camera movement is likely to be a translation or a combination of translations, but not a rotation. Since the camera movement is limited to only one of six directions (three translations and three rotations), I conclude that the camera did not move at all, i.e., no movement.",None
pumpkin,seq-03,000187-000198,phi,leftward,15.474354,1,3,ask more questions,"Based on the information provided by VLM, the blue sofa appears to be closer to the camera in the target image, which suggests that the camera has moved downward from the source image to the target image. However, the positioning of the objects also suggests that the camera has moved slightly to the right. While this could be due to a rightward rotation, it's not clear whether the rotation is significant enough to be the primary movement. Therefore, I would like to ask more questions to VLM to gather more information and narrow down the possible camera movements.",Can you describe the distance between the blue sofa and the kitchen counter in both the source image and the target image? Is there any notable change in this distance between the two images?
pumpkin,seq-03,000187-000198,phi,leftward,15.474354,2,2,no movement,"Based on the additional information provided by VLM, it is clear that the camera has moved slightly to the right and closer to the blue sofa in the target image compared to the source image. This suggests a rightward translation, which is consistent with the initial observation that the camera has moved slightly to the right. The fact that the overall layout and positioning of the objects remain relatively consistent between the two images also supports this conclusion. There is no indication of a significant rotation or leftward movement, so I conclude that the main camera movement from the source image to the target image is ""no movement"" (option 2).",None
pumpkin,seq-06,000456-000474,phi,leftward,15.089308,1,2,no movement,"My reason is that the VLM mentioned that the positioning of the objects remains consistent between the two images, indicating that there is no significant movement or change in the environment. Additionally, the relationship between the objects is also static, with the sofa positioned in the foreground and the cabinets in the background. This suggests that the camera did not move at all, as the objects and their relationships remain unchanged. Since the camera movement is limited to only one of the six directions (three translations and three rotations), I conclude that the most likely option is no movement.","Can you please provide more details about the blue sofa? Is it in the same position in both images, or is it slightly shifted or rotated? Are there any other objects near the sofa that could provide clues about the camera movement?"
pumpkin,seq-06,000922-000950,phi,leftward,15.582437,1,1,ask more questions,"Although the VLM provided information about the main objects and their positions in both images, I need more information to determine the main camera movement. The objects' positions don't provide enough clues to infer the camera movement. For example, the cabinets are positioned above the countertop, but this doesn't necessarily imply a rotation or translation movement. The sink and tiled backsplash are also positioned in a way that doesn't provide clear information about the camera movement. To gather more information, I'll ask additional questions to the VLM to help narrow down the possible camera movements.","Can you tell me if the red cabinets, black countertop, sink, and tiled backsplash are aligned in the same way in both images? Are there any changes in their relative positions or orientations?"
pumpkin,seq-06,000922-000950,phi,leftward,15.582437,2,0,no movement,"Based on the VLM's information, it seems that the objects in both images are aligned in the same way, with no noticeable changes in their relative positions or orientations. This suggests that there is no significant camera movement between the two images. The VLM explicitly stated that the objects appear to be in the same position and orientation, indicating that the camera movement is likely to be minimal or non-existent. Given this information, I conclude that the main camera movement is likely to be ""no movement"", with the camera remaining stationary between the two images.",None
pumpkin,seq-08,000966-000976,phi,leftward,15.033759,1,1,ask more questions,"Although the VLM mentioned that the kitchen cabinets and countertop are static objects, it doesn't necessarily mean that the camera didn't move. The fact that the same objects are present in both images suggests that the camera might have moved to capture the target image. However, without more information, I'm not confident in choosing one of the six possible camera movements.","Can you tell me more about the position of the kitchen cabinets and countertop in the source and target images? Are they in the same relative position, or has the camera moved closer or farther away from them? Are there any other details in the images that could help me infer the camera movement?"
pumpkin,seq-08,000966-000976,phi,leftward,15.033759,2,0,no movement,"Based on the information provided by VLM, I'm going to choose the option that the camera didn't move. The fact that the kitchen cabinets and countertop are positioned in a similar manner in both images suggests that they are static objects, and the relative positions of the cabinets and countertop appear to be consistent between the two images. This indicates that the camera may not have moved significantly. Additionally, there are no clear indicators of the camera moving closer or farther away from the objects, as the perspective and scale of the cabinets and countertop remain relatively unchanged. Without any significant changes in the scene or objects, it's reasonable to assume that the camera didn't move.

I don't think it's necessary to ask more questions at this point, as the information provided by VLM is sufficient to make an informed decision.",None
pumpkin,seq-01,000215-000255,phi,leftward,15.244855,1,1,ask more questions,"Although VLM provided information about the main objects and their positions in both images, I don't have enough information to determine the main camera movement yet. I'd like to ask more questions to gather more details about the changes in the objects' positions and the overall scene. Specifically, I'd like to know more about the relationships between the objects and the surrounding environment, such as the walls, floor, and any other features that might provide clues about the camera movement.","Can you tell me more about the surrounding environment in both images, VLM? Are there any notable changes in the walls, floor, or other features that might indicate the camera movement?"
pumpkin,seq-01,000215-000255,phi,leftward,15.244855,2,2,rightward,"Based on VLM's description, I believe the main camera movement is a rightward rotation. The appliances on the countertop have shifted to the left, which suggests that the camera has moved slightly to the right. Additionally, the lighting change from well-lit to slightly dimmer also implies a movement to the right, as if the camera is now positioned at a slightly different angle to the light source. The fact that the wall tiles and floor remain in the same position in both images indicates that the camera did not move significantly in the vertical or horizontal directions, further supporting the idea of a rightward rotation.","Can you tell me more about the exact movement of the appliances on the countertop, VLM? Did they move uniformly or was it a more subtle shift? Are there any other objects or features in the scene that might provide additional clues about the camera movement?"
redkitchen,seq-14,000740-000775,phi,leftward,16.612008,1,1,ask more questions,"The information provided by VLM suggests that the microwave, phone, and wooden box have consistent positions and arrangements between the source and target images. This implies that the camera movement is not a translation (i.e., moving left or right, up or down) because the objects' positions are identical. The consistent positioning of the objects also rules out any significant rotation, as the objects would likely appear distorted or differently aligned if there was a significant rotation. Therefore, I'm not confident in choosing options 0, 2, or 3, and I'd like to ask more questions to gather additional information.","Can you tell me more about the background or surrounding environment in both images? Are there any notable features, such as a wall, floor, or other objects, that could provide clues about the camera movement?"
redkitchen,seq-14,000740-000775,phi,leftward,16.612008,2,3,no movement,"The information provided by VLM suggests that the camera movement is likely limited to a small range of motion, such as a slight tilt or a minor shift in perspective, rather than a full rotation or translation. The consistency in the positioning and arrangement of the objects, as well as the stationary background, indicates that the camera movement is minimal. The fact that the objects are arranged in a way that suggests they are stationary and not in motion further supports the idea that there is no significant movement. Given these details, I believe that the most likely option is that there is no movement (option 3) from the source image to the target image.",None
office,seq-09,000646-000656,phi,rightward,16.602234,1,1,rightward,"My reason is that the chair is positioned in the center of the image, facing towards the right side of the frame, and the desk is located to the left of the chair. This suggests that the camera is initially facing the right side of the chair. Since the chair appears to be in a similar position in both images, and the computer monitor is situated on the desk, slightly to the right of the center of the desk, it implies that the camera has rotated around the chair to face the left side of the chair in the target image. This movement can be described as a rightward rotation.",None
office,seq-10,000038-000059,phi,rightward,15.373692,1,1,ask more questions,"Although the VLM provided information about the consistent layout of the room, the positioning of the furniture, and the absence of people, I still need more information to determine the main camera movement. The fact that the lighting and color tones are consistent between the two images suggests that the camera did not move to a different location or change its orientation significantly. However, I would like to ask more questions to clarify the movement of the camera.",Can you tell me if there are any changes in the depth of field or the focus of the camera between the two images? Are there any objects that appear closer or farther away in the target image compared to the source image?
office,seq-10,000038-000059,phi,rightward,15.373692,2,1,no movement,"Based on the information provided by VLM, I believe that the main camera movement from the source image to the target image is no movement. The VLM mentioned that the consistent lighting and color tones suggest that the camera did not move to a different location or change its orientation significantly. Additionally, the depth of field and focus of the camera appear to be consistent between the two images, with no noticeable changes in the clarity or sharpness of the objects in the room.

The only changes observed are slight rearrangements of the desk and computer setup, which could be due to a slight movement of the camera, but not enough to change the overall orientation or position of the camera. The VLM did not mention any significant changes in the position of the chair, desk, or bookshelf, which suggests that the camera did not move significantly.

I do not think that the camera moved leftward or rightward rotation, as there is no evidence of a significant change in the position of the objects in the room. Therefore, I choose the option ""no movement"" as the main camera movement from the source image to the target image.",None
